Case #1: Impossible
44 11 100549
23 28 68447
27 24 56120
20 15 34722
9 24 135433
35 26 142175
46 43 80851
19 37 45103
18 33 108844
49 11 32951
47 19 110419
33 42 65061
40 18 109601
32 16 102079
6 22 100553
36 5 40739
11 46 72573
45 33 55517
7 35 33063
17 23 74070
12 45 103323
31 20 75657
44 15 97772
9 31 160135
28 10 50939
9 28 144447
41 17 70518
30 32 115301
1 18 72808
26 48 99822
28 15 10955
40 21 106720
39 24 118371
28 30 70943
50 39 139930
42 37 61121
43 15 78989
30 29 56268
32 28 92230
20 11 88264
24 11 51317
39 10 59658
15 31 40935
18 3 87755
44 6 108392
4 25 81822
37 25 8561
29 44 109785
1 32 74163
5 2 108812
41 12 99215
46 18 152176
3 43 92591
14 45 96761
19 17 68983
16 45 17245
35 28 50148
22 29 112873
33 4 64839
49 12 105657
14 8 83478
22 12 137657
27 1 60867
47 33 99678
26 49 108633
16 48 61015
25 21 75037
9 23 150682
10 38 86798
6 16 39443
38 7 66121
43 35 105922
21 8 66602
42 21 49118
7 23 51362
42 4 62458
22 33 83993
45 47 139751
23 48 54309
9 37 128357
48 2 94886
35 38 86007
49 10 67073
38 19 83998
25 28 58002
23 22 99821
22 21 105185
23 40 81586
7 15 6130
42 49 49728
47 20 143896
44 18 169912
11 18 94503
41 47 111954
25 44 102361
50 48 86557
50 31 128559
27 14 91206
46 19 57843
22 44 75763
16 15 44556
8 13 27321
21 29 7688
45 13 68031
7 17 61608
43 38 107006
43 22 155495
47 25 87149
8 34 40179
Case #40: Impossible
Case #41: Impossible
Case #42: 200
1 10 275840
20 27 169231
26 11 221453
29 26 112669
13 23 181270
29 15 203057
2 4 37521
23 8 131581
21 3 104879
15 2 192176
21 5 209535
30 18 224263
29 3 145147
15 4 219402
4 16 202470
16 21 157956
7 1 295066
5 3 104656
21 8 108316
8 6 201051
6 5 247171
11 5 130191
9 4 55909
2 27 75344
5 16 86085
3 6 179805
22 24 295082
14 1 207041
6 10 202700
16 29 137527
21 27 138695
2 1 254451
6 11 377362
15 19 121848
27 19 136670
17 29 125194
10 30 265755
28 25 53401
2 23 177889
17 30 138169
24 1 227643
5 8 120573
27 11 147949
21 30 223095
28 17 88086
28 10 137247
29 25 120951
17 4 170074
4 28 143742
18 8 133885
2 13 38096
12 11 296633
27 9 93732
14 12 78806
4 14 76715
16 3 142775
2 6 262230
29 4 211292
8 9 144646
23 19 84492
9 3 88877
11 29 246376
27 1 179107
25 22 180257
23 4 140368
17 6 177661
19 14 20839
18 9 68499
22 6 190994
21 22 197036
8 27 50914
17 8 60916
21 12 89874
24 17 194309
11 23 154174
7 6 267648
20 12 159332
3 20 97546
14 5 87636
19 13 141542
30 15 280375
22 2 233077
4 13 75617
10 12 199839
30 16 65139
14 13 152332
6 4 273540
16 27 120393
14 23 63653
30 24 249145
23 1 203415
8 13 164354
11 21 286644
15 16 215236
3 2 107265
27 22 157733
23 25 198638
15 11 307308
22 18 277844
26 14 141108
16 26 89325
8 14 96487
26 3 158128
29 9 192159
12 1 251807
25 24 114825
25 6 253954
30 1 206452
16 9 214125
29 10 69697
10 27 168124
9 5 193533
25 12 179751
17 12 174800
18 11 223012
16 2 195737
5 22 270955
3 19 3819
13 16 233833
15 18 105289
29 7 215965
7 25 95014
30 29 202666
11 10 244722
23 22 257188
13 12 207147
5 24 149916
15 28 235885
16 8 69479
9 15 173788
7 8 168452
10 21 109965
25 16 142917
21 23 185552
30 4 267609
7 27 117538
23 16 62102
30 7 270701
6 29 133003
17 14 157403
11 22 263415
26 30 154464
10 18 194466
4 11 215766
21 29 40268
14 25 134985
30 20 113977
12 6 182609
23 27 182495
6 20 246671
7 2 42194
18 25 97587
17 27 57209
1 16 141313
28 2 106221
1 17 121898
8 15 239174
28 13 144317
20 15 215575
1 18 202761
16 22 195086
7 21 176806
19 29 141328
2 12 169051
9 24 43617
7 19 108864
16 17 73030
16 28 127394
17 9 150941
23 15 153134
7 13 80290
22 15 261048
23 9 169550
24 4 99526
20 17 121868
8 11 198863
30 3 207914
1 29 206143
7 4 79715
8 26 44621
28 27 30877
25 3 117965
25 13 90916
9 21 153000
25 9 71208
21 14 121899
4 8 163779
26 12 191095
13 18 124983
8 20 118317
26 24 203388
13 26 186944
28 9 124609
10 13 281564
12 8 175293
17 23 135132
3 14 17020
17 25 79733
25 27 22524
27 29 98427
Case #43: 85
36 29 541920
28 13 495760
29 23 323656
1 7 202642
23 37 218940
35 12 329978
24 21 282769
7 14 475024
21 1 160609
32 36 402398
22 16 448197
22 11 392980
33 12 330775
6 23 497160
30 10 240073
5 34 311962
24 7 324802
31 4 646610
31 12 165614
21 14 432991
31 16 196939
26 22 566698
13 12 405974
5 18 295156
32 21 254338
36 4 640546
7 27 177519
15 5 33235
6 30 395302
14 5 539400
27 13 309013
32 20 251824
15 12 401968
2 36 427789
3 11 267610
29 34 422471
24 10 127982
27 24 366523
18 27 77481
2 6 393900
32 14 505991
30 11 113301
15 20 540578
33 30 319602
10 26 669523
27 12 96961
30 5 66473
2 18 151028
35 1 123628
28 16 475577
6 27 320353
29 28 585722
12 36 380507
22 6 465359
6 16 453386
21 18 58005
10 25 676972
12 28 407091
1 19 379364
34 10 485562
35 10 409113
16 36 256615
16 34 187405
27 3 174598
33 8 349000
3 8 296402
4 16 453717
20 31 579725
32 7 296371
27 30 290579
4 2 560192
16 26 569921
24 4 619846
4 3 666110
30 17 193390
21 15 270386
13 33 338036
37 31 304708
27 37 42133
1 29 367763
22 18 222487
32 29 348867
36 14 586419
14 22 597473
19 37 312108
Case #44: 11
5 7 934428
2 4 438458
1 3 511516
9 12 980440
5 9 714502
7 8 771981
5 11 867746
7 12 668490
8 10 680435
6 4 990152
6 8 751976
Case #45: 943
2 14 117068
12 37 70691
15 50 114522
45 21 47860
36 37 84734
41 1 74876
15 47 186210
13 14 101837
22 3 91216
36 32 107180
18 36 56385
9 4 89177
26 40 101125
37 16 38860
35 8 94337
10 6 66615
50 1 39285
49 12 157339
20 18 141097
18 1 163924
48 14 160828
23 29 121990
5 38 159033
27 4 87918
41 36 93678
40 23 92769
43 32 146091
27 50 55262
33 35 109825
30 35 22419
33 4 104617
5 6 103612
9 1 99544
47 9 177687
19 21 153821
39 8 100893
24 8 122131
36 3 107292
40 8 103849
6 24 76759
24 34 104618
44 24 112027
17 16 96375
4 22 20280
40 27 55008
8 15 93405
38 47 212871
40 12 154262
36 9 167414
22 41 41761
5 18 110997
8 16 135473
39 44 64715
23 28 85712
42 2 83310
37 2 95881
17 19 111624
47 6 122279
3 44 69397
23 46 130784
25 28 43020
26 42 131028
8 23 94016
24 9 48482
49 48 131358
20 29 167126
21 34 105877
45 15 133214
23 38 123279
46 43 184333
12 2 120248
29 21 70135
46 30 109472
3 20 116227
27 41 93035
45 50 97998
23 36 101635
9 35 102234
4 41 62041
13 34 127540
27 15 63839
6 26 46209
21 13 65983
37 31 84702
10 49 101365
44 7 108128
39 2 32539
22 8 68849
35 1 43185
19 26 146858
21 27 89798
33 14 117525
28 1 76369
15 18 142171
23 44 75054
32 12 140866
46 4 100110
27 29 82449
41 16 81879
43 31 133166
10 34 136843
5 39 38662
46 21 136331
22 30 55756
43 29 137813
10 11 106751
44 10 29414
12 42 125847
36 30 152251
50 43 146116
19 12 179040
25 50 54158
25 43 116956
48 28 116602
46 48 165957
16 50 109060
37 3 120085
12 6 130304
44 6 37201
18 27 97607
11 40 95052
38 28 140313
47 48 197090
18 16 102259
32 1 39310
26 14 77022
37 38 181977
21 48 135664
27 3 131703
4 21 42440
47 41 157081
22 34 83717
6 39 88939
3 29 127647
9 12 170633
2 35 100349
50 9 60259
2 23 18547
8 31 123121
48 10 96289
45 42 85405
12 33 107088
48 43 121809
12 21 86940
13 49 92062
12 29 16805
16 5 100613
13 3 107888
38 31 163696
27 6 99507
8 5 62231
3 32 98249
22 26 73306
6 15 94889
6 11 101518
20 42 168850
47 17 157001
42 9 82727
39 24 47312
40 36 164362
38 39 120371
3 16 125163
42 46 60685
10 24 141441
16 32 109035
32 10 135635
19 49 149515
37 25 50184
6 29 113499
14 31 170280
3 4 111496
49 15 143671
15 23 103380
15 35 137818
18 29 123561
28 34 83870
40 1 124479
26 8 54509
33 24 106643
29 17 98859
11 17 95306
45 23 102904
7 40 125843
5 47 170062
49 1 117632
8 33 15488
12 44 139342
40 25 91130
36 12 155425
8 47 171212
14 40 135819
46 14 174290
29 16 92746
5 34 138410
27 34 151355
21 6 89603
27 14 80811
7 31 88
20 28 111281
15 20 154959
5 49 102981
25 31 56483
34 46 145040
45 49 22539
40 17 89638
30 20 164249
6 20 84031
31 18 118914
28 17 41834
47 39 149793
42 49 100815
30 19 171931
36 25 73232
41 34 113396
34 42 84355
37 10 153013
41 12 101168
14 29 163260
9 17 94532
27 44 72723
42 19 168365
36 45 142105
24 29 138963
48 40 143418
33 15 86396
12 25 120875
9 7 134701
7 36 91804
8 20 92331
13 44 74065
18 6 83103
10 21 81816
39 43 108256
16 15 75558
50 23 92567
49 24 69140
10 12 152342
26 27 53298
13 4 64103
4 20 131408
16 24 136479
18 17 103544
36 47 231725
33 42 121054
34 1 95620
13 30 96944
20 22 111128
48 19 18157
35 11 86962
47 16 238960
46 39 79698
14 30 158495
48 34 166836
29 9 153828
2 24 68767
38 22 140160
34 33 143979
14 38 201109
43 26 117527
37 14 161040
3 49 74708
5 7 68140
42 17 56741
30 12 137692
48 24 101213
21 25 62082
12 48 160883
21 15 88745
28 35 33184
18 40 135992
35 23 118896
26 24 122968
40 28 48110
50 7 84894
11 3 69322
29 26 129304
46 29 162303
3 14 104178
17 41 14496
11 5 108367
5 13 37205
28 37 93204
19 9 159401
31 28 77951
19 14 178985
33 30 87406
34 15 179149
44 33 114579
29 40 137457
47 7 193206
33 25 89288
30 32 71280
38 8 99072
30 27 120759
43 6 97355
36 20 166173
44 28 30395
28 8 69002
16 26 167301
3 25 69901
41 28 41914
2 34 134390
44 19 143860
42 8 105566
10 33 143993
19 47 215247
15 1 94633
4 1 56242
13 15 87654
28 18 88188
43 22 73783
26 20 37822
30 5 110192
3 6 32196
41 20 136525
44 50 106196
1 43 150305
42 44 89947
45 34 58017
30 28 55603
47 25 158493
17 15 80249
15 41 65753
22 50 75954
12 24 155768
12 22 109100
15 36 121432
32 45 98023
38 46 194471
28 46 114324
5 20 104510
46 35 87053
44 31 108040
22 32 75979
21 40 70117
24 18 83809
15 28 107667
30 25 98623
7 3 79409
21 22 22160
30 40 103713
40 41 89718
33 22 84337
5 9 123639
4 28 20127
13 27 23815
32 44 106221
26 35 106643
42 23 101857
42 48 150208
39 9 95794
2 16 100959
1 26 124852
42 36 110382
24 13 123179
24 45 91679
46 36 145422
14 8 102037
4 25 63147
31 12 65131
41 7 36125
45 3 97247
34 16 164394
4 45 45980
40 45 67127
49 34 35478
45 2 92712
34 38 56443
41 21 63921
7 29 48238
49 20 159367
30 21 77916
15 31 29716
10 26 112824
4 11 73905
30 49 103995
36 16 45874
40 50 110270
21 7 100046
4 15 127794
42 10 119361
31 45 103498
13 45 69523
39 22 34473
4 23 105839
22 14 141306
6 16 157359
19 8 142401
22 15 107514
11 39 88098
15 39 73041
14 28 141459
12 7 65043
23 19 80464
16 19 159927
50 12 140891
19 20 182575
1 5 105012
16 35 120384
50 18 131864
19 45 160612
34 35 57987
8 6 100718
1 7 111001
49 43 122022
1 6 139127
17 44 71923
7 42 94184
23 22 85559
11 15 149057
38 25 147464
19 7 113997
48 1 167025
38 32 156279
25 17 19885
19 15 143625
17 6 96147
23 20 121884
25 10 102829
17 24 54520
12 14 180065
1 20 162674
37 44 123599
10 45 78826
10 22 59656
9 44 92609
18 32 131839
9 41 98576
38 2 141826
33 43 78506
33 27 64329
39 27 96743
43 21 95943
2 8 112563
17 3 63951
31 39 43325
10 23 104468
39 45 60173
48 11 125972
3 1 124331
37 20 166263
39 21 56633
33 9 153234
50 5 65727
21 49 70399
41 8 94246
23 25 64244
19 36 141833
27 46 93479
17 46 72490
6 33 116206
21 33 106497
26 21 95466
2 33 115796
30 1 65604
14 39 149607
32 6 99817
47 11 162415
3 21 113376
29 28 92448
10 35 92993
43 5 125249
19 18 125714
36 48 123676
49 7 114043
9 21 91057
37 9 99942
36 2 118929
13 50 79077
11 42 95429
10 3 98811
31 26 134740
44 21 52402
16 10 183296
13 33 40514
43 40 121740
33 31 116112
1 8 120395
10 38 98379
49 8 117088
39 1 80766
8 46 121315
42 35 26368
21 47 137480
25 1 93443
11 27 121263
46 33 136803
7 11 119429
11 43 127408
21 11 75785
27 42 77730
36 29 138620
38 21 162320
4 19 136455
23 39 51086
32 29 124061
33 45 110037
7 38 163784
8 30 71918
21 2 89172
13 37 98958
28 12 109253
31 36 91716
41 3 49455
33 18 64254
20 32 146407
3 24 44563
47 10 114492
15 26 117137
19 10 114446
47 29 204820
25 49 91412
22 2 67012
33 19 157889
1 23 118674
35 32 48861
20 13 67305
21 36 135314
36 44 146647
5 25 11569
12 20 183931
23 11 74979
48 25 73582
29 8 74795
16 9 138802
33 32 98561
46 49 116564
19 5 80170
19 50 145897
7 46 123111
41 48 94028
46 20 184599
19 41 112185
45 41 67461
8 37 123984
43 24 69557
42 16 94016
44 15 132090
34 20 194845
34 36 194737
5 21 73651
32 23 92592
10 4 79936
14 34 194063
13 32 79102
40 3 87112
14 9 185562
12 8 91600
43 44 104025
31 35 111135
5 36 61663
39 12 108456
46 5 103944
47 35 148657
16 11 123530
8 3 99673
10 50 135610
15 3 109037
16 7 45930
41 42 58059
38 33 114560
2 7 55205
49 41 77918
48 33 139732
27 31 93555
12 1 130048
50 4 61893
34 44 107429
23 21 107719
45 18 113735
49 39 82712
50 41 48769
41 39 7288
33 37 139472
31 13 105257
31 22 77798
8 13 25026
11 41 83304
4 30 35476
26 18 103275
13 47 146186
9 18 132291
49 31 113955
42 38 133786
27 49 115877
5 37 61753
31 32 84831
40 20 138947
34 40 125144
32 9 60234
22 36 116405
20 16 205123
14 25 150611
23 6 37853
47 42 175025
36 1 127199
17 45 67381
26 28 73459
49 40 89666
36 33 74111
31 42 94096
11 18 120229
46 15 152739
46 11 111178
27 32 55287
31 40 125755
28 21 22313
47 32 177658
48 13 99218
25 46 92375
43 9 118039
18 34 161093
48 5 62013
29 1 113243
15 42 111450
45 22 25700
2 46 112237
11 22 53625
49 9 20658
4 16 133441
16 23 119506
8 45 94549
46 31 123023
8 7 123033
29 10 151951
39 19 118832
20 38 191403
37 49 90056
10 31 137454
4 38 127487
49 23 80365
11 33 137962
38 12 190672
42 5 88195
34 25 126841
20 45 136828
11 34 40864
43 12 154618
40 5 102699
39 40 82430
27 20 91120
2 1 100127
11 32 72936
34 17 106956
37 43 155371
10 27 102137
4 40 68237
50 36 107205
17 1 73558
12 11 155361
1 14 169167
26 41 98703
30 39 90229
50 30 71255
29 15 18610
10 41 101417
42 3 107514
25 6 102097
7 6 111605
48 31 95928
43 41 103300
20 21 133288
9 40 110324
4 29 112575
49 4 68519
1 37 71973
16 13 137818
14 35 136076
14 36 109656
27 45 93338
43 15 156423
32 37 70175
25 45 68873
42 21 81865
47 31 193118
50 14 136073
45 14 167006
47 20 199601
31 21 99958
39 35 67810
9 28 69050
38 11 97307
9 25 112070
33 20 107819
5 31 68052
3 12 144452
20 14 114844
44 4 50522
7 35 111223
28 33 84490
9 8 137746
20 17 135964
24 40 129742
3 5 71416
19 24 119370
7 43 133254
43 36 70637
31 17 50533
45 28 25853
7 39 43413
33 50 98586
10 17 101337
38 43 142616
26 9 142203
33 7 116024
7 30 133642
9 45 43197
50 20 146382
2 48 80854
17 7 50621
3 31 79321
11 13 97448
40 37 141314
37 27 122773
46 6 138059
37 6 152281
47 50 177633
30 6 123199
12 34 173260
38 50 156254
14 11 173500
37 15 72496
13 18 73792
16 45 149340
32 15 114547
46 50 38217
2 6 56400
23 43 59502
24 47 185003
37 18 141119
28 11 53778
18 25 109494
6 35 100780
24 20 160790
18 38 147838
23 48 62307
7 32 84919
10 20 150646
17 33 109173
1 45 102222
25 7 56571
35 44 63579
7 48 95840
3 38 117622
26 34 157023
32 21 98139
22 35 33337
33 26 69997
2 29 103443
36 38 188671
13 10 103479
9 3 84594
6 45 86613
41 30 97517
42 39 63949
26 30 126427
26 23 84062
38 19 192429
18 2 63797
5 45 80442
13 1 95369
43 18 14252
26 47 161779
14 49 178886
34 6 142382
15 7 29628
17 8 93685
38 9 112579
18 39 96336
11 25 96798
28 5 54589
1 24 128078
16 12 109551
10 1 136178
9 2 108798
10 15 161504
37 45 112595
13 7 105345
26 37 128441
43 34 157500
4 31 98078
26 36 128351
35 37 81524
3 28 91369
2 30 122768
39 10 94129
49 6 106904
31 34 149433
2 49 98912
4 14 123019
43 14 67523
24 30 137541
10 28 59809
22 7 77886
7 34 149521
33 49 132576
11 45 27925
24 37 124589
38 26 153581
28 50 76107
50 17 34273
11 49 5386
8 43 63018
49 50 78347
38 16 209538
41 32 48794
17 48 93467
36 4 136379
41 18 89048
32 40 110295
27 28 67791
39 16 89167
47 34 192507
22 47 115320
8 4 89129
48 6 88846
47 4 135600
1 27 88356
40 22 47957
44 45 49412
49 26 121545
36 24 140194
20 9 180025
50 6 99842
35 20 144465
10 5 114398
18 42 147107
48 16 141770
23 18 45250
24 5 85974
17 5 31454
25 2 45697
4 32 61918
8 10 128505
34 30 80406
28 16 123793
24 32 88818
6 14 123231
4 12 102216
14 21 163466
2 26 102609
50 3 98224
19 32 145922
13 36 98868
25 39 27093
13 43 88044
32 28 76132
46 19 184114
31 24 90637
19 31 114085
30 18 120684
22 46 114171
15 25 86199
44 47 85078
16 30 106377
41 24 54600
42 4 39425
7 27 93467
3 19 74807
36 49 164644
40 10 47129
14 24 137080
16 25 89044
24 38 73059
39 3 56743
35 50 48836
13 12 116626
45 47 134490
37 19 141923
28 13 43976
14 41 142319
10 7 137542
15 48 125468
25 27 72589
38 40 145508
48 32 127765
31 11 119341
30 45 81456
42 29 109042
44 48 125703
38 30 136849
24 15 120353
11 24 63754
35 18 121372
44 49 71951
38 17 127579
22 17 41681
44 41 72003
18 47 180033
22 37 93357
35 40 81294
34 4 71044
3 48 56650
6 36 139488
47 1 191842
8 25 73800
46 16 147277
35 48 149786
22 5 54742
29 31 48326
1 44 106764
37 34 125534
11 1 112246
18 12 140366
1 22 76522
17 4 61961
43 35 107120
25 13 48774
4 43 94063
40 44 17715
30 47 171076
40 46 148487
17 49 89920
19 43 139966
50 34 106823
38 48 174272
18 48 107557
15 40 118847
36 8 89599
21 17 63841
45 7 103586
29 41 84363
2 10 123015
11 36 169404
21 16 140242
20 11 164753
15 2 84833
46 41 86986
38 35 114430
11 19 144129
44 2 93601
6 38 149818
12 15 35415
32 8 83073
4 39 54753
40 19 161575
19 2 99011
46 47 215850
29 45 117995
13 19 117375
42 22 59705
4 37 94581
27 16 139397
Case #46: Impossible
Case #47: Impossible
Case #48: 50
44 49 913528
35 16 974383
47 18 545078
9 4 571978
48 15 643215
17 39 817696
37 12 561145
41 8 323662
3 24 744172
38 12 554440
40 49 567174
36 31 918413
49 25 615391
46 30 862981
36 32 882897
16 10 772853
13 31 681798
50 25 614277
9 18 962742
39 1 372598
20 3 998827
6 34 443583
6 13 533011
45 25 801571
14 30 258595
26 25 514880
25 36 675233
19 9 965432
43 15 356762
32 41 474933
44 21 701067
50 16 919934
27 16 707959
12 29 465588
40 47 432384
10 38 536709
30 28 162286
48 28 870487
3 47 393045
23 40 360289
18 27 762843
4 31 612644
20 48 244878
4 8 677276
31 14 612016
18 23 512059
25 37 305204
34 14 809055
46 40 871773
43 26 567682
Case #49: 120
21 6 21031
16 1 151768
17 20 256072
10 7 158116
18 2 43386
10 22 6624
12 6 148760
18 16 114088
17 5 194024
22 3 176300
8 6 129988
14 11 160111
21 10 86662
12 15 297298
4 18 156468
4 6 211741
22 4 226554
18 3 149158
6 10 91423
4 20 213029
8 13 93803
18 14 63360
18 6 57657
2 1 81066
3 10 182924
13 3 127686
16 6 128801
14 7 144766
16 20 170649
6 20 114218
9 21 154306
10 1 104994
18 13 21472
13 12 112575
19 6 40883
12 8 162550
21 19 61914
6 7 139063
8 21 151019
17 2 185677
17 13 184561
4 8 231169
2 10 77152
17 11 285022
7 4 124726
6 13 36185
1 17 243713
3 7 230564
18 19 26170
14 10 97126
5 16 296359
15 11 225418
8 5 297546
20 9 134563
22 12 161189
3 12 240261
2 13 21914
2 19 26612
18 21 78688
3 21 184902
15 18 206195
7 16 195494
4 17 43043
12 11 230798
13 16 92616
9 8 187932
2 11 140137
2 6 58099
1 4 237092
6 22 84799
19 15 180025
2 20 99947
15 4 256087
10 13 55238
14 22 90502
19 11 122921
4 13 177940
20 10 110008
10 16 147854
20 15 262756
14 17 165703
16 2 70702
15 21 241939
5 14 245631
5 4 237067
20 11 40190
14 3 169574
3 2 149600
11 22 156822
2 12 90661
21 14 99104
10 17 239799
22 21 80038
15 8 278526
20 13 78033
9 7 202352
4 3 294958
4 16 229982
20 14 119921
16 21 149832
7 11 221101
20 3 205719
12 9 212049
22 7 151492
19 8 98501
17 18 199511
2 9 121388
1 6 95337
15 3 312409
16 22 141230
13 19 4698
1 14 101040
19 3 132384
8 1 152955
17 12 95016
3 6 163871
14 8 91863
7 19 107576
14 2 19974
1 18 80624
Case #50: Impossible
Case #51: 42
6 16 366255
10 16 335513
5 14 943041
1 12 157109
11 4 745805
12 17 470082
2 21 285343
3 25 745088
7 14 534402
14 25 349593
4 6 819517
10 11 927459
9 22 463321
17 21 778153
20 4 562455
24 13 352722
18 12 782944
13 12 517904
5 9 487298
1 21 465180
26 20 712816
18 22 495318
14 13 883194
22 10 496591
25 13 790078
14 9 799751
12 21 523716
10 13 679539
20 21 306045
5 15 536394
11 16 596535
25 8 454903
12 22 483754
9 21 487568
10 15 721070
3 20 440219
22 6 16668
14 11 468790
2 13 279531
23 6 514962
15 16 906854
4 16 669091
Case #52: 18
8 9 162602
3 2 472111
7 8 361966
6 4 322456
1 6 604832
3 4 632144
10 7 301008
5 6 199756
10 6 367605
2 5 37333
2 10 205182
8 4 425031
10 8 362518
3 8 236054
1 8 599745
6 3 338629
7 9 199364
4 2 160033
Case #53: 10
2 6 16
7 3 6
5 1 11
7 6 12
8 1 8
6 1 18
1 3 12
3 5 9
6 5 15
7 1 6
Case #54: 1
2 1 5
Case #55: Impossible
Case #56: Impossible
Case #57: 50
8 40 527802
45 12 177533
32 46 322873
45 34 380363
33 40 471698
28 23 845003
45 23 710656
31 23 550479
11 35 428929
15 19 708528
23 14 808180
45 20 540706
39 12 535690
11 38 602679
16 43 762085
3 41 276610
31 12 660607
39 15 804099
9 32 538811
18 45 356440
13 14 699430
26 32 482175
13 43 336160
23 15 378537
37 2 981915
33 23 382386
7 14 369455
38 15 984932
21 5 497645
18 13 706873
28 22 720097
5 18 271298
38 14 668874
14 22 683274
20 31 717379
24 27 834082
44 12 240675
25 39 250048
46 3 354847
42 6 795350
3 31 621343
38 45 546981
18 21 768943
31 34 692806
9 40 407047
31 42 851653
37 45 493809
3 27 281689
33 46 403359
6 4 822750
Case #58: 12
2 6 343468
8 5 347237
5 9 331018
7 10 490381
4 10 428209
2 8 504113
4 8 626516
7 2 250155
7 4 372558
5 3 342370
6 3 344525
9 4 610304
Case #59: 132
19 14 195953
6 4 64237
21 6 71915
2 14 147085
5 12 114163
16 21 253816
8 22 136003
1 7 20628
15 1 121191
21 22 260077
21 20 300920
13 9 167001
22 10 358559
8 11 58850
13 12 132284
10 11 533678
17 9 53226
10 21 611752
15 5 148242
11 19 179255
15 7 141819
2 23 34643
8 3 48830
10 9 446712
4 21 136152
15 6 215338
14 13 194699
11 17 64226
4 2 33575
8 14 168894
16 11 178492
20 3 204799
17 15 167412
21 11 142530
23 8 9867
5 18 89723
7 14 229639
17 3 54206
14 4 157959
4 9 39051
13 11 178001
19 9 168255
7 18 132180
12 15 34079
6 19 193441
22 14 129945
12 21 261239
13 5 152380
6 2 97812
23 19 130272
20 1 81990
4 5 249413
21 15 286110
12 10 350513
6 13 192187
14 18 146339
17 2 49886
11 23 48983
12 11 183165
18 22 32486
4 23 1068
21 2 105489
10 4 485763
17 21 130593
21 3 132510
4 12 135250
1 14 209011
13 21 264102
20 22 166129
10 2 519338
3 14 120064
9 8 47850
4 7 109598
17 5 255561
12 1 87112
6 17 58678
16 19 238567
9 22 88153
22 3 165099
3 11 10020
4 11 47915
19 10 481543
12 20 169102
13 22 129311
19 22 130565
2 22 160779
3 16 168472
16 10 466561
22 15 26033
14 6 222196
17 7 104039
3 2 27021
13 8 138885
19 20 38072
20 7 102618
10 20 519615
20 6 229005
16 14 237947
23 1 116744
12 19 131030
12 8 136022
13 20 36818
15 20 192162
9 14 197010
18 17 165838
12 14 121899
2 12 168825
11 22 175119
11 5 297328
16 2 164152
10 1 437625
15 23 152169
20 11 214819
1 21 232094
15 14 155978
2 15 186812
16 9 167492
13 19 1254
3 15 191132
8 17 5376
6 23 63169
18 23 158622
4 8 10935
18 8 160462
22 4 127204
1 2 151387
6 5 303487
10 14 472412
1 16 203160
10 17 491911
17 13 144261
13 16 237313
Case #60: 65
23 10 200356
17 20 306614
4 12 136499
10 22 216299
4 5 294865
9 15 655223
11 10 336486
11 20 576572
22 17 232162
19 23 471172
1 3 262036
21 19 427981
8 9 468819
20 5 536343
6 12 487591
7 23 47435
23 2 407292
13 6 105262
14 9 526812
4 17 65136
9 21 384992
20 4 270813
1 20 306363
8 19 253719
2 8 381277
21 18 238590
10 13 473527
8 23 217453
17 2 370631
7 14 206895
6 17 523909
1 12 106375
23 22 318123
3 9 734376
9 17 586829
23 11 453565
1 10 292133
4 22 167026
4 18 116054
16 15 261295
4 14 182572
18 5 178811
9 11 556500
15 14 244385
2 18 316949
5 10 245606
12 20 199988
13 22 554158
8 4 180382
20 8 421860
4 11 385745
23 17 216233
18 19 274979
14 20 374051
15 3 174542
2 21 540419
13 23 508047
20 13 693437
22 18 283080
16 8 102643
1 16 397243
3 18 201229
1 13 596472
3 10 264754
4 19 391033
Case #61: 40
6 2 515639
7 8 330373
9 1 177403
10 11 105008
11 4 165842
10 5 289819
7 5 206813
2 4 567946
9 11 211565
12 5 239284
11 6 263702
8 5 141231
5 2 322372
12 11 122797
9 5 328052
8 10 227948
8 6 334498
10 4 270850
11 3 188081
8 11 289287
3 2 301225
12 3 242554
6 5 380189
5 1 150649
8 12 166490
1 12 88635
9 2 613669
12 7 163883
7 1 75248
3 9 331322
12 2 347631
7 6 304788
9 8 432528
12 6 168008
6 10 332834
7 11 109410
6 4 361220
10 12 164826
3 6 383459
5 11 184811
Case #62: 50
38 49 450782
45 46 541725
48 24 325509
9 43 512224
24 7 366686
36 29 106206
37 9 267632
38 45 122800
46 27 915814
2 25 178777
21 42 572157
2 40 532567
29 3 631115
49 10 881234
48 15 781245
45 36 95540
49 50 581310
1 11 847594
32 50 875433
20 7 559697
42 7 663093
31 35 393185
20 18 415833
20 21 322561
25 21 353640
2 24 215297
46 50 685146
44 35 619306
14 15 380856
46 47 403366
48 19 735308
38 29 112134
12 35 888798
26 18 202751
26 11 307841
50 27 808876
11 33 665147
47 50 590474
23 7 381851
6 41 381950
3 7 907092
33 47 698560
21 14 350288
4 6 277045
11 47 714799
40 17 694206
44 50 656673
10 23 775833
48 30 424316
45 42 534318
Case #63: Impossible
Case #64: 162
3 20 481841
11 1 119347
3 14 131447
2 17 219477
17 20 305723
5 14 141181
1 8 51382
18 2 193718
14 9 166630
17 19 190124
9 13 41911
11 7 138033
6 13 63496
4 1 188399
19 15 228948
8 18 146973
9 6 21585
6 8 90920
2 15 126340
15 14 120464
1 15 28213
3 11 284854
9 1 17953
17 18 152307
12 8 148650
2 8 149509
20 16 250447
16 10 110185
18 3 319289
20 6 301203
17 10 62876
